,CTC_Apus_melba,Collocalia_troglodytes,09NC56_Collocalia_uropygialis,DHC88_Collocalia_esculenta,DHC77_Aerodramus_bartschi,DHC01_Aerodramus_vanikorensis_palawensis,DHC06_Aerodramus_vanikorensis_palawensis,DHC31_Aerodramus_spodiopygius_spodiopygius,DHC66_Aerodramus_brevirostris_vulcanorum,CMNH37000_Aerodramus_whiteheadi,MC10-01_Aerodramus_sawtelli,MC10-02_Aerodramus_sawtelli,14-F2_Aerodramus_spodiopygius_assimilis,DHC39_Aerodramus_spodiopygius_assimilis,DHC36_Aerodramus_spodiopygius_assimilis,DHC37_Aerodramus_spodiopygius_assimilis,DHC04_Aerodramus_fuciphagus_germani,DHC03_Aerodramus_maximus,DHC40_Aerodramus_fuciphagus_vestitus,DMT027_Aerodramus_fuciphagus_vestitus,DMT048_Aerodramus_salangana_natunae,EP52-03_Aerodramus_sororum,DMT040_Aerodramus_maximus,09NC38_Aerodramus_spodiopygius_leucopygius,09NC39_Aerodramus_spodiopygius_leucopygius,JBF08-96_Aerodramus_spodiopygius_leucopygius,DHC20_Aerodramus_terraereginae,DMT002_Aerodramus_salangana_natunae,DMT047_Aerodramus_salangana_natunae,EP52-01_Aerodramus_sororum,EP52-02_Aerodramus_sororum,AC10-04_Aerodramus_ocistus_ocistus,AC05-01_Aerodramus_leucophaeus,AC09-S3_Aerodramus_leucophaeus,M2049_Aerodramus_brevirostris,M2123_Aerodramus_brevirostris,DHC120_Aerodramus_maximus,DHC28_Aerodramus_terraereginae,DHC30_Aerodramus_terraereginae,AC10-07_Aerodramus_ocistus_ocistus,DHC60_Aerodramus_elaphrus,DMT042_Aerodramus_maximus,DHC117_Aerodramus_maximus,AC10-02_Aerodramus_ocistus_ocistus,DHC59_Aerodramus_elaphrus,EPAL2_Aerodramus_elaphrus,DHC61_Aerodramus_elaphrus,Mauritius_BWM83_Aerodramus_francicus,Reunion_LC8_Aerodramus_francicus,AC09-09_Aerodramus_ocistus_ocistus,AC10-01_Aerodramus_ocistus_ocistus,Mauritius_BWM80_Aerodramus_francicus,Mauritius_DHC53_Aerodramus_francicus,Mauritius_BWM82_Aerodramus_francicus,Mauritius_BWM85_Aerodramus_francicus,Mauritius_BWM89_Aerodramus_francicus,Mauritius_DHC52_Aerodramus_francicus,Reunion_CDS2117_Aerodramus_francicus,Reunion_LC2_Aerodramus_francicus,Reunion_LC6_Aerodramus_francicus,Reunion_SEOR1_Aerodramus_francicus,Reunion_SEOR4_Aerodramus_francicus,Reunion_SEOR5_Aerodramus_francicus,Mauritius_BWM81_Aerodramus_francicus,Mauritius_BWM88_Aerodramus_francicus,Reunion_CDS2036_Aerodramus_francicus,Reunion_LC3_Aerodramus_francicus
DHC20_Aerodramus_terraereginae,0.139086,0.139798,0.122993,0.135523,0.092395,0.089415,0.089415,0.087761,0.081287,0.066935,0.091120,0.091120,0.095904,0.094602,0.086545,0.086462,0.093441,0.065000,0.090140,0.090554,0.093078,0.096990,0.065720,0.035909,0.036300,0.035351,0.000000,0.093078,0.093078,0.096049,0.096049,0.101496,0.098801,0.098801,0.098713,0.098713,0.065773,0.001528,0.001517,0.099692,0.099683,0.066194,0.065878,0.099996,0.098725,0.098729,0.098723,0.101942,0.100224,0.101918,0.100977,0.101991,0.101991,0.101986,0.101983,0.101982,0.101981,0.100143,0.100143,0.100142,0.100142,0.100142,0.100142,0.102025,0.102017,0.100144,0.100152
DMT002_Aerodramus_salangana_natunae,0.155006,0.155718,0.138913,0.151443,0.051935,0.048955,0.048955,0.047301,0.108553,0.101137,0.050660,0.050660,0.055444,0.054142,0.046085,0.046002,0.022019,0.092266,0.018718,0.019132,0.000000,0.025568,0.092986,0.097957,0.098348,0.097399,0.093078,0.000000,0.000000,0.024627,0.024627,0.047322,0.044627,0.044627,0.044539,0.044539,0.093039,0.094540,0.094529,0.045518,0.045509,0.093460,0.093144,0.045822,0.044551,0.044555,0.044549,0.047768,0.046050,0.047744,0.046803,0.047817,0.047817,0.047812,0.047809,0.047808,0.047807,0.045969,0.045969,0.045968,0.045968,0.045968,0.045968,0.047851,0.047843,0.045970,0.045978
DMT047_Aerodramus_salangana_natunae,0.155006,0.155718,0.138913,0.151443,0.051935,0.048955,0.048955,0.047301,0.108553,0.101137,0.050660,0.050660,0.055444,0.054142,0.046085,0.046002,0.022019,0.092266,0.018718,0.019132,0.000000,0.025568,0.092986,0.097957,0.098348,0.097399,0.093078,0.000000,0.000000,0.024627,0.024627,0.047322,0.044627,0.044627,0.044539,0.044539,0.093039,0.094540,0.094529,0.045518,0.045509,0.093460,0.093144,0.045822,0.044551,0.044555,0.044549,0.047768,0.046050,0.047744,0.046803,0.047817,0.047817,0.047812,0.047809,0.047808,0.047807,0.045969,0.045969,0.045968,0.045968,0.045968,0.045968,0.047851,0.047843,0.045970,0.045978
EP52-01_Aerodramus_sororum,0.157977,0.158689,0.141884,0.154414,0.054906,0.051926,0.051926,0.050272,0.111524,0.104108,0.053631,0.053631,0.058415,0.057113,0.049056,0.048973,0.024990,0.095237,0.021689,0.022103,0.024627,0.002009,0.095957,0.100928,0.101319,0.100370,0.096049,0.024627,0.024627,0.000000,0.001068,0.050293,0.047598,0.047598,0.047510,0.047510,0.096010,0.097511,0.097500,0.048489,0.048480,0.096431,0.096115,0.048793,0.047522,0.047526,0.047520,0.050739,0.049021,0.050715,0.049774,0.050788,0.050788,0.050783,0.050780,0.050779,0.050778,0.048940,0.048940,0.048939,0.048939,0.048939,0.048939,0.050822,0.050814,0.048941,0.048949
EP52-02_Aerodramus_sororum,0.157977,0.158689,0.141884,0.154414,0.054906,0.051926,0.051926,0.050272,0.111524,0.104108,0.053631,0.053631,0.058415,0.057113,0.049056,0.048973,0.024990,0.095237,0.021689,0.022103,0.024627,0.002009,0.095957,0.100928,0.101319,0.100370,0.096049,0.024627,0.024627,0.001068,0.000000,0.050293,0.047598,0.047598,0.047510,0.047510,0.096010,0.097511,0.097500,0.048489,0.048480,0.096431,0.096115,0.048793,0.047522,0.047526,0.047520,0.050739,0.049021,0.050715,0.049774,0.050788,0.050788,0.050783,0.050780,0.050779,0.050778,0.048940,0.048940,0.048939,0.048939,0.048939,0.048939,0.050822,0.050814,0.048941,0.048949
AC10-04_Aerodramus_ocistus_ocistus,0.163424,0.164136,0.147331,0.159861,0.060353,0.057373,0.057373,0.055719,0.116971,0.109555,0.059078,0.059078,0.063862,0.062560,0.054503,0.054420,0.047685,0.100684,0.044384,0.044798,0.047322,0.051234,0.101404,0.106375,0.106766,0.105817,0.101496,0.047322,0.047322,0.050293,0.050293,0.000000,0.026215,0.026215,0.047473,0.047473,0.101457,0.102958,0.102947,0.003460,0.048443,0.101878,0.101562,0.003764,0.047485,0.047489,0.047483,0.050702,0.048984,0.005686,0.004745,0.050751,0.050751,0.050746,0.050743,0.050742,0.050741,0.048903,0.048903,0.048902,0.048902,0.048902,0.048902,0.050785,0.050777,0.048904,0.048912
AC05-01_Aerodramus_leucophaeus,0.160729,0.161441,0.144636,0.157166,0.057658,0.054678,0.054678,0.053024,0.114276,0.106860,0.056383,0.056383,0.061167,0.059865,0.051808,0.051725,0.044990,0.097989,0.041689,0.042103,0.044627,0.048539,0.098709,0.103680,0.104071,0.103122,0.098801,0.044627,0.044627,0.047598,0.047598,0.026215,0.000000,0.000000,0.044778,0.044778,0.098762,0.100263,0.100252,0.024411,0.045748,0.099183,0.098867,0.024715,0.044790,0.044794,0.044788,0.048007,0.046289,0.026637,0.025696,0.048056,0.048056,0.048051,0.048048,0.048047,0.048046,0.046208,0.046208,0.046207,0.046207,0.046207,0.046207,0.048090,0.048082,0.046209,0.046217
AC09-S3_Aerodramus_leucophaeus,0.160729,0.161441,0.144636,0.157166,0.057658,0.054678,0.054678,0.053024,0.114276,0.106860,0.056383,0.056383,0.061167,0.059865,0.051808,0.051725,0.044990,0.097989,0.041689,0.042103,0.044627,0.048539,0.098709,0.103680,0.104071,0.103122,0.098801,0.044627,0.044627,0.047598,0.047598,0.026215,0.000000,0.000000,0.044778,0.044778,0.098762,0.100263,0.100252,0.024411,0.045748,0.099183,0.098867,0.024715,0.044790,0.044794,0.044788,0.048007,0.046289,0.026637,0.025696,0.048056,0.048056,0.048051,0.048048,0.048047,0.048046,0.046208,0.046208,0.046207,0.046207,0.046207,0.046207,0.048090,0.048082,0.046209,0.046217
M2049_Aerodramus_brevirostris,0.160641,0.161353,0.144548,0.157078,0.057570,0.054590,0.054590,0.052936,0.114188,0.106772,0.056295,0.056295,0.061079,0.059777,0.051720,0.051637,0.044902,0.097901,0.041601,0.042015,0.044539,0.048451,0.098621,0.103592,0.103983,0.103034,0.098713,0.044539,0.044539,0.047510,0.047510,0.047473,0.044778,0.044778,0.000000,0.000000,0.098674,0.100175,0.100164,0.045669,0.026526,0.099095,0.098779,0.045973,0.025568,0.025572,0.025566,0.028785,0.027067,0.047895,0.046954,0.028834,0.028834,0.028829,0.028826,0.028825,0.028824,0.026986,0.026986,0.026985,0.026985,0.026985,0.026985,0.028868,0.028860,0.026987,0.026995
M2123_Aerodramus_brevirostris,0.160641,0.161353,0.144548,0.157078,0.057570,0.054590,0.054590,0.052936,0.114188,0.106772,0.056295,0.056295,0.061079,0.059777,0.051720,0.051637,0.044902,0.097901,0.041601,0.042015,0.044539,0.048451,0.098621,0.103592,0.103983,0.103034,0.098713,0.044539,0.044539,0.047510,0.047510,0.047473,0.044778,0.044778,0.000000,0.000000,0.098674,0.100175,0.100164,0.045669,0.026526,0.099095,0.098779,0.045973,0.025568,0.025572,0.025566,0.028785,0.027067,0.047895,0.046954,0.028834,0.028834,0.028829,0.028826,0.028825,0.028824,0.026986,0.026986,0.026985,0.026985,0.026985,0.026985,0.028868,0.028860,0.026987,0.026995
